trial_type,trial_index,time_elapsed,internal_node_id,success,rt,stimulus,key_press,prompt,subject_id,age,gender,button_pressed,next_reward,animation_sequence,responses,planet,curr_prac_trial,n_prac_rounds,alien,aliens,reward_received,decay_rate_actual,decay_rate_exp,time_in_block,block_num,prt,last_trial_on_planet,button_html,bonus,num_failures
pavlovia,0,11,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,1,3685,0.0-1.0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
instruc_welcome,2,13410,0.0-2.0,,null,run_exp/static/audio/clip_1_welcome.m4a,null,"<p>Howdy! In this experiment, you’ll be an explorer traveling through space to collect space treasure.</p><p>Your mission is to collect as much treasure as possible.</p><br><br><p><img src='run_exp/static/images/task_images/opening_img-01.jpg' height='300' width='auto'></p>",aEvLP6tMS7oYcIx_a5Ke5UddwllDBGZ_MLRP_7TW41y4YLPtjEjQ,10.23,female,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,3,30007,0.0-3.0,,null,run_exp/static/audio/clip_2_move.m4a,null,,,,,,,,,,,,,,,,,,,,,,,
welcome_dec,4,35093,0.0-4.0,,5080.925,"<p>Howdy! In this experiment, you’ll be an explorer traveling through space to collect space treasure.</p><p>Your mission is to collect as much treasure as possible.</p><br><br><p><img src='run_exp/static/images/task_images/opening_img-01.jpg' height='300' width='auto'></p>",,,,,,1,,,,,,,,,,,,,,,,,,
html-keyboard-response,5,38536,0.0-5.0,,3437.58,"<p>Howdy! In this experiment, you’ll be an explorer traveling through space to collect space treasure.</p><p>Your mission is to collect as much treasure as possible.</p><br><br><p><img src='run_exp/static/images/task_images/opening_img-01.jpg' height='300' width='auto'></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,,,,,,,,,,,,,,
instruc_goal,6,48598,0.0-6.0-0.0,,null,run_exp/static/audio/clip_3_goal.m4a,null,"<p> As a space explorer, you’ll visit different planets to dig for space treasure, these pink gems.</p> <p> The more treasure you dig up, the more bonus money you’ll win! </p><br><br><p><img src='run_exp/static/images/task_images/pink_gem.jpg' height='300' width='auto'></p>",,,,,,,,,,,,,,,,,,,,,,
instruc_goal,7,53493,0.0-6.0-1.0,,4891.71,"<p> As a space explorer, you’ll visit different planets to dig for space treasure, these pink gems.</p> <p> The more treasure you dig up, the more bonus money you’ll win! </p><br><br><p><img src='run_exp/static/images/task_images/pink_gem.jpg' height='300' width='auto'></p>",,,,,,1,,,,,,,,,,,,,,,,,,
html-keyboard-response,8,55004,0.0-6.0-2.0,,1506.905,"<p> As a space explorer, you’ll visit different planets to dig for space treasure, these pink gems.</p> <p> The more treasure you dig up, the more bonus money you’ll win! </p><br><br><p><img src='run_exp/static/images/task_images/pink_gem.jpg' height='300' width='auto'></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,,,,,,,,,,,,,,
instruc_dig,9,71029,0.0-7.0-0.0,,null,run_exp/static/audio/clip_4_dig.m4a,null,,,,,,100,,,,,,,,,,,,,,,,,
instruc_dig_try,10,71901,0.0-7.0-1.0,,869.915,"<p> When you’ve arrived at a new planet, you will dig once. </p> <p>Then, you get to decide if you want to stay on the planet and dig again or travel to a new planet and dig there.</p> <p> To stay and dig, press the letter <strong>‘A’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/land.jpg'  height='700' width='auto'></p>",65,"<p> When you’ve arrived at a new planet, you will dig once. </p> <p>Then, you get to decide if you want to stay on the planet and dig again or travel to a new planet and dig there.</p> <p> To stay and dig, press the letter <strong>‘A’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/land.jpg'  height='700' width='auto'></p>",,,,,100,,,,,,,,,,,,,,,,,
dig_prac,11,73919,0.0-7.0-2.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.6600000015459955},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":670.4650000010733},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1336.4099999999162}]",[],,,,,,,,,,,,,,,
instruc_travel,12,110140,0.0-7.0-3.0,,null,run_exp/static/audio/clip_5_travel.m4a,null,"<p>Every time you dig up gems, there are less gems on the planet, so the more you dig on a planet the fewer gems you’ll get with each dig.</p><p>When gems are running low, you may want to travel to a new planet. </p> <p>  Planets are very far apart in this galaxy, so it will take some time to travel between them. </p> <br><p>There are lots and lots of planets for you to visit, so you won’t be able to return to any planets you’ve seen before. </p><br><p>To leave this planet and travel to a new one, press the letter <strong>‘L’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/rocket-01.jpg'  height='600' width='auto'></p>",,,,,,,,,,,,,,,,,,,,,,
instruc_travel_try,13,110403,0.0-7.0-4.0,,260.865,"<p>Every time you dig up gems, there are less gems on the planet, so the more you dig on a planet the fewer gems you’ll get with each dig.</p><p>When gems are running low, you may want to travel to a new planet. </p> <p>  Planets are very far apart in this galaxy, so it will take some time to travel between them. </p> <br><p>There are lots and lots of planets for you to visit, so you won’t be able to return to any planets you’ve seen before. </p><br><p>To leave this planet and travel to a new one, press the letter <strong>‘L’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/rocket-01.jpg'  height='600' width='auto'></p>",76,"<p>Every time you dig up gems, there are less gems on the planet, so the more you dig on a planet the fewer gems you’ll get with each dig.</p><p>When gems are running low, you may want to travel to a new planet. </p> <p>  Planets are very far apart in this galaxy, so it will take some time to travel between them. </p> <br><p>There are lots and lots of planets for you to visit, so you won’t be able to return to any planets you’ve seen before. </p><br><p>To leave this planet and travel to a new one, press the letter <strong>‘L’</strong> on your keyboard. Try pressing it now! </p><p><img src='run_exp/static/images/task_images/rocket-01.jpg'  height='600' width='auto'></p>",,,,,,,,,,,,,,,,,,,,,,
travel_prac,14,120407,0.0-7.0-5.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/rocket-01.jpg"",""time"":0.33999999868683517},{""stimulus"":""run_exp/static/images/task_images/rocket-02.jpg"",""time"":1112.9099999997998},{""stimulus"":""run_exp/static/images/task_images/rocket-03.jpg"",""time"":2223.9899999985937},{""stimulus"":""run_exp/static/images/task_images/rocket-04.jpg"",""time"":3335.0350000000326},{""stimulus"":""run_exp/static/images/task_images/rocket-05.jpg"",""time"":4446.169999999227},{""stimulus"":""run_exp/static/images/task_images/rocket-06.jpg"",""time"":5556.955000000016},{""stimulus"":""run_exp/static/images/task_images/rocket-07.jpg"",""time"":6668.024999999034},{""stimulus"":""run_exp/static/images/task_images/rocket-08.jpg"",""time"":7779.039999999455},{""stimulus"":""run_exp/static/images/task_images/rocket-09.jpg"",""time"":8890.124999999884}]",[],0,,,,,,,,,,,,,,
instruc_alien_greet,15,147596,0.0-7.0-6.0,,null,run_exp/static/audio/clip_6_alien.m4a,null,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p>",,,,,,,,,,,,,,,,,,,,,,
instruc_alien_greet,16,151491,0.0-7.0-7.0,,3891.79,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p>",,,,,,1,,,,,,,,,,,,,,,,,,
html-keyboard-response,17,153570,0.0-7.0-8.0,,2077.215,"<p>When you arrive at a new planet, the alien who owns the treasure mine on that planet will greet you!</p><p>The better an alien takes care of their mine the easier it is to dig for gems. Some aliens take better care of their mine than others. So, you won’t get exactly the same amount of gems on each planet.</p><p>What the alien looks like does not tell you anything about how many gems there are on the planet.</p><br><p><img src=""run_exp/static/images/task_images/aliens/instructions_aliens/planet/alien_planet-1.jpg""  height=""600"" width=""auto""></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,,,,,,,,,,,,,,
time_out,18,164662,0.0-8.0-0.0,,null,run_exp/static/audio/clip_7_timeout.m4a,null,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p>",,,,,,,,,,,,,,,,,,,,,,
time_out,19,166364,0.0-8.0-1.0,,1699.75,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p>",,,,,,1,,,,,,,,,,,,,,,,,,
html-keyboard-response,20,168027,0.0-8.0-2.0,,1661.33,"<p>If you don't make your choice fast enough, you’ll have to wait a few seconds before you can make another one.</p><p>You can’t dig for more gems or travel to new planets. You just have to sit and wait.</p><br><p><img src='run_exp/static/images/task_images/time_out.jpg'  height='600' width='auto'></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,,,,,,,,,,,,,,
instruc_break,21,183699,0.0-9.0-0.0,,null,run_exp/static/audio/clip_8_break.m4a,null,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p>",,,,,,,,,,,,,,,,,,,,,,
instruc_break,22,185342,0.0-9.0-1.0,,1640.02,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p>",,,,,,1,,,,,,,,,,,,,,,,,,
html-keyboard-response,23,185903,0.0-9.0-2.0,,559.325,"<p> After digging and traveling for a while, you’ll be able to take a break at home base. </p><p>The game will last 20 minutes no matter what.</p><p>You will visit home base every 5 minutes, so, you will visit home base three times during the game.</p><br><p><img src='run_exp/static/images/task_images/home_base.jpg' height='600' width='auto'></p><button class=""jspsych-html-btn-unchosen""><img src=""run_exp/static/images/task_images/planet-01.jpg"" height=""50""></button><button class=""jspsych-html-btn-chosen""><img src=""run_exp/static/images/task_images/planet-02.jpg"" height=""50""></button><p><b>[press the space bar to lock in your answer]<b><br></p>",32,,,,,,,,,,,,,,,,,,,,,,,
instruc_prac_game,24,196031,0.0-10.0-0.0,,null,run_exp/static/audio/clip_9_practice.m4a,null,"<p> Are you ready to play a practice game? </p> <p>In this practice game, you'll be digging up barrels of gems. But, in the real game, you'll be digging up the gems themselves. </p>",,,,,,,,,,,,,,,,,,,,,,
html-button-response,25,197935,0.0-10.0-1.0,,1901.495,"<p> Are you ready to play a practice game? </p> <p>In this practice game, you'll be digging up barrels of gems. But, in the real game, you'll be digging up the gems themselves. </p>",,,,,,0,,,,,,,,,,,,,,,,,,
alien_welcome_prac,26,202941,0.0-11.0-0.0,,null,run_exp/static/images/task_images/aliens/practice_aliens/planet/alien_planet-5.jpg,null,,,,,,,,,,,,,,,,,,,,,,,
land_prac,27,203444,0.0-11.0-1.0,,null,run_exp/static/images/task_images/land.jpg,null,,,,,,102,,,0,,,,,,,,,,,,,,
dig_prac,28,205449,0.0-11.0-2.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.37499999965075403},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":668.5099999995437},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1335.595000000496}]",[],,,,,,,,,,,,,,,
harvest_prac,29,206451,0.0-11.0-3.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,,
decision_prac,30,208573,0.0-11.0-4.0,,2119.07,run_exp/static/images/task_images/land.jpg,65,,,,,,,,,,1,,,,,,,,,,,,,
dig_prac,31,210581,0.0-12.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.32000000099651515},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":668.9299999998184},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1335.914999999688}]",[],,,,,,,,,,,,,,,
harvest_prac,32,211583,0.0-12.0-1.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,,
decision_prac,33,212265,0.0-12.0-2.0,,679.985,run_exp/static/images/task_images/land.jpg,65,,,,,,,,,,2,,,,,,,,,,,,,
dig_prac,34,214272,0.0-13.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.27500000031432137},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":668.5600000000559},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1335.2900000009104}]",[],,,,,,,,,,,,,,,
harvest_prac,35,215275,0.0-13.0-1.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,,
decision_prac,36,216726,0.0-13.0-2.0,,1449.02,run_exp/static/images/task_images/land.jpg,65,,,,,,,,,,3,,,,,,,,,,,,,
dig_prac,37,218731,0.0-14.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.1799999990616925},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":668.2099999997881},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1335.1050000000978}]",[],,,,,,,,,,,,,,,
harvest_prac,38,219733,0.0-14.0-1.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,,
decision_prac,39,220989,0.0-14.0-2.0,,1254.245,run_exp/static/images/task_images/land.jpg,76,,,,,,,,,,4,,,,,,,,,,,,,
travel,40,229736,0.0-15.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/rocket-01.jpg"",""time"":0.28999999997904524},{""stimulus"":""run_exp/static/images/task_images/rocket-02.jpg"",""time"":972.7750000001979},{""stimulus"":""run_exp/static/images/task_images/rocket-03.jpg"",""time"":1943.794999999227},{""stimulus"":""run_exp/static/images/task_images/rocket-04.jpg"",""time"":2914.8349999995553},{""stimulus"":""run_exp/static/images/task_images/rocket-05.jpg"",""time"":3885.9250000005122},{""stimulus"":""run_exp/static/images/task_images/rocket-06.jpg"",""time"":4856.889999999141},{""stimulus"":""run_exp/static/images/task_images/rocket-07.jpg"",""time"":5827.900000000198},{""stimulus"":""run_exp/static/images/task_images/rocket-08.jpg"",""time"":6798.9049999996205},{""stimulus"":""run_exp/static/images/task_images/rocket-09.jpg"",""time"":7770.044999999285}]",[],0,,,,,,,,,,,,,,
alien_welcome_prac,41,234740,0.0-15.0-1.0,,null,run_exp/static/images/task_images/aliens/practice_aliens/planet/alien_planet-4.jpg,null,,,,,,,,,,,,,,,,,,,,,,,
land_prac,42,235244,0.0-15.0-2.0,,null,run_exp/static/images/task_images/land.jpg,null,,,,,,105,,,0,,,,,,,,,,,,,,
dig_prac,43,237250,0.0-15.0-3.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.35500000015599653},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":669.2600000005914},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1336.225000000908}]",[],,,,,,,,,,,,,,,
harvest_prac,44,238252,0.0-15.0-4.0,,null,run_exp/static/images/task_images/barrel_text.jpg,null,,,,,,,,,,,,,,,,,,,,,,,
decision_prac,45,239350,0.0-15.0-5.0,,1096.89,run_exp/static/images/task_images/land.jpg,65,,,,,,,,,,,1,,,,,,,,,,,,
quiz_instruc,46,253278,0.0-16.0-0.0,,13921.995,run_exp/static/audio/clip_10_quiz.m4a,,,,,,0,,,,,,,,,,,,,,,,,,
instruc_repeat,47,296054,0.0-16.0-1.0,,null,"<p> Are you ready to play a practice game? </p> <p>In this practice game, you'll be digging up barrels of gems. But, in the real game, you'll be digging up the gems themselves. </p>",null,"<p>In this game, your goal is to collect as many gems as you can. That’s how you will win bonus money. </p> <p>The entire game will last 20 minutes no matter how many gems you collect or how many planets you visit. </p><p>To stay on a planet and dig again, press the letter A on your keyboard. To leave for a new planet, press the letter L.</p><p>The more you dig on a planet, the fewer gems you’ll get with each dig which is why you might consider leaving for a new planet. </p><p>When you arrive at a new planet, you’ll be greeted by an alien. What the alien looks like does not tell you anything about how much treasure is on the planet. </p>",,,,,,,,,,,,,,,,,,,,,,
instruc_repeat_continue,48,297030,0.0-16.0-2.0,,972.37,"<p> Are you ready to play a practice game? </p> <p>In this practice game, you'll be digging up barrels of gems. But, in the real game, you'll be digging up the gems themselves. </p>",,,,,,0,,,,,,,,,,,,,,,,,,
quiz_q_1_ask,49,301958,0.0-16.0-3.0,,4924.875,run_exp/static/audio/clip_11_q1_ask.m4a,,,,,,2,,,,,,,,,,,,,,,,,,
quiz_q_1_fb_correct,50,305806,0.0-17.0-0.0,,null,run_exp/static/audio/clip_12_q1_corrrect.m4a,null,<p>That’s correct. You win extra money by collecting more gems.</p>,,,,,,,,,,,,,,,,,,,,,,
quiz_q_2_ask,51,310774,0.0-17.0-1.0,,4963.55,run_exp/static/audio/clip_14_q2_ask.m4a,,,,,,1,,,,,,,,,,,,,,,,,,
quiz_q_2_fb_correct,52,314766,0.0-18.0-0.0,,null,run_exp/static/audio/clip_15_q2_correct.m4a,null,<p>That’s correct. The experiment is 20 minutes no matter what.</p>,,,,,,,,,,,,,,,,,,,,,,
quiz_q_3_ask,53,317087,0.0-18.0-1.0,,2318.4,run_exp/static/audio/clip_17_q3_ask.m4a,,,,,,1,,,,,,,,,,,,,,,,,,
quiz_q_3_fb_correct,54,321064,0.0-19.0-0.0,,null,run_exp/static/audio/clip_18_q3_correct.m4a,null,<p> That’s correct. You press the letter L to travel to a new planet.</p>,,,,,,,,,,,,,,,,,,,,,,
quiz_q_4_ask,55,327488,0.0-19.0-1.0,,6420.515,run_exp/static/audio/clip_20_q4_ask.m4a,,,,,,0,,,,,,,,,,,,,,,,,,
quiz_q_4_fb_correct,56,332830,0.0-20.0-0.0,,null,run_exp/static/audio/clip_21_q4_correct.m4a,null,<p> That’s correct. The more you dig on a planet the fewer gems you’ll get with each dig. </p>,,,,,,,,,,,,,,,,,,,,,,
quiz_q_5_ask,57,336019,0.0-20.0-1.0,,3185.16,run_exp/static/audio/clip_23_q5_ask.m4a,,,,,,1,,,,,,,,,,,,,,,,,,
quiz_q_5_fb_correct,58,341017,0.0-21.0-0.0,,null,run_exp/static/audio/clip_24_q5_correct.m4a,null,<p> That’s correct. The alien tells you nothing about how much treasure is on the planet.</p>,,,,,,,,,,,,,,,,,,,,,,
quiz_correct,59,344492,0.0-22.0-0.0,,null,run_exp/static/audio/clip_26_correct_quiz.m4a,null,,,,,,,,,,,,,,,,,,,,,,,
quiz_correct_continue,60,348451,0.0-22.0-1.0,,3957.245,<p>Good job! You're now ready to move on to the real game!</p>,,,,,,0,,,,,,,,,,,,,,,,,,
audio-keyboard-response,61,358571,0.0-22.0-2.0,,null,run_exp/static/audio/clip_28_real_game.m4a,null,,,,,,,,,,,,,,,,,,,,,,,
instruc_begin_exp_contine,62,360261,0.0-22.0-3.0,,1688.05,"<p>Now that you know how  to dig for space treasure and travel to new planets,you can start exploring! </p><p>Do you want to go over the instructions again or get started with the real game?</p>",,,,,,1,,,,,,1,,,,,,,,,,,,
alien_welcome,63,365269,0.0-23.0-0.0,,null,run_exp/static/images/task_images/aliens/old_aliens/planet/alien_planet-70.jpg,null,,,,,,,,,,,,70,"70,41,53,27,42,58,60,28,44,32,36,4,77,39,50,15,64,20,5,45,6,80,75,26,7",,,,,,,,,,
land,64,365772,0.0-23.0-1.0,,null,run_exp/static/images/task_images/land.jpg,null,,,,,,106,,,1,,,,,,,,,,,,,,
dig,65,367777,0.0-23.0-2.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.35999999998603016},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":669.2999999995809},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1336.2399999987101}]",[],1,,,,,,,,,,,,,,
harvest,66,368780,0.0-23.0-3.0,,null,run_exp/static/images/task_images/gems/106.jpg,null,,,,,,21,,,1,,,,,106,0.202139823,0.198113208,,,,,,,
decision,67,370499,0.0-23.0-4.0,,1717.01,run_exp/static/images/task_images/land.jpg,65,,,,,,21,,,1,,,,,,,,10234,1,0,FALSE,,,
dig,68,371788,0.0-24.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.2899999999208376},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":428.9750000006752},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":856.0099999995437}]",[],1,,,,,,,,,,,,,,
harvest,69,372794,0.0-24.0-1.0,,null,run_exp/static/images/task_images/gems/21.jpg,null,,,,,,4,,,1,,,,,21,0.212610829,0.19047619,,,,,,,
decision,70,373484,0.0-24.0-2.0,,687.195,run_exp/static/images/task_images/land.jpg,65,,,,,,4,,,1,,,,,,,,13218,1,1,FALSE,,,
dig,71,375802,0.0-25.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.3249999990221113},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":772.7250000006752},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1541.839999999851}]",[],1,,,,,,,,,,,,,,
harvest,72,376805,0.0-25.0-1.0,,null,run_exp/static/images/task_images/gems/4.jpg,null,,,,,,1,,,1,,,,,4,0.214649157,0.25,,,,,,,
decision,73,377344,0.0-25.0-2.0,,536.91,run_exp/static/images/task_images/land.jpg,65,,,,,,1,,,1,,,,,,,,17078,1,2,FALSE,,,
dig,74,379816,0.0-26.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":0.30499999958556145},{""stimulus"":""run_exp/static/images/task_images/land.jpg"",""time"":822.8349999990314},{""stimulus"":""run_exp/static/images/task_images/dig.jpg"",""time"":1643.7649999989662}]",[],1,,,,,,,,,,,,,,
harvest,75,380818,0.0-26.0-1.0,,null,run_exp/static/images/task_images/gems/1.jpg,null,,,,,,0,,,1,,,,,1,0.271618027,0,,,,,,,
decision,76,381714,0.0-26.0-2.0,,893.68,run_exp/static/images/task_images/land.jpg,76,,,,,,0,,,1,,,,,,,,21448,1,3,TRUE,,,
travel,77,390821,0.0-27.0-0.0,,,,,,,,,,,"[{""stimulus"":""run_exp/static/images/task_images/rocket-01.jpg"",""time"":0.25500000081956387},{""stimulus"":""run_exp/static/images/task_images/rocket-02.jpg"",""time"":1012.6700000001583},{""stimulus"":""run_exp/static/images/task_images/rocket-03.jpg"",""time"":2023.9099999999162},{""stimulus"":""run_exp/static/images/task_images/rocket-04.jpg"",""time"":3034.944999999483},{""stimulus"":""run_exp/static/images/task_images/rocket-05.jpg"",""time"":4045.9200000005076},{""stimulus"":""run_exp/static/images/task_images/rocket-06.jpg"",""time"":5056.979999999399},{""stimulus"":""run_exp/static/images/task_images/rocket-07.jpg"",""time"":6068.185000000056},{""stimulus"":""run_exp/static/images/task_images/rocket-08.jpg"",""time"":7078.989999999991},{""stimulus"":""run_exp/static/images/task_images/rocket-09.jpg"",""time"":8089.975000000792}]",[],1,,,,,,,,,,,,,,
