,sub_num,prt,prt_rel_om,leave_thresh,opt_prt_om,gender,age,block,galaxy,switch,planet_n,num_in_gal,planet_n_norm,agez,age_group
0,0,3,1,13.0,2,Male,9.37,1,poor,no_switch,0,0,-1.664088684060028,-1.4145028184780328,child
0,0,4,2,4.5,2,Male,9.37,1,poor,no_switch,1,1,-1.5811026341987668,-1.4145028184780328,child
0,0,5,3,10.5,2,Male,9.37,1,neutral,switch,2,0,-1.4981165843375055,-1.4145028184780328,child
0,0,4,1,20.0,3,Male,9.37,1,neutral,no_switch,3,1,-1.4151305344762444,-1.4145028184780328,child
0,0,4,2,17.0,2,Male,9.37,1,neutral,no_switch,4,2,-1.332144484614983,-1.4145028184780328,child
0,0,7,0,35.0,7,Male,9.37,1,rich,switch,5,0,-1.249158434753722,-1.4145028184780328,child
0,0,6,0,37.0,6,Male,9.37,1,rich,no_switch,6,1,-1.1661723848924606,-1.4145028184780328,child
0,0,5,-1,44.0,6,Male,9.37,1,rich,no_switch,7,2,-1.0831863350311994,-1.4145028184780328,child
0,0,2,0,63.0,2,Male,9.37,1,poor,switch,8,0,-1.000200285169938,-1.4145028184780328,child
0,0,2,0,63.5,2,Male,9.37,2,poor,no_switch,10,2,-0.8342281854474157,-1.4145028184780328,child
0,0,3,1,11.5,2,Male,9.37,2,poor,no_switch,11,3,-0.7512421355861545,-1.4145028184780328,child
0,0,2,0,64.5,2,Male,9.37,2,poor,no_switch,12,4,-0.6682560857248933,-1.4145028184780328,child
0,0,7,1,27.5,6,Male,9.37,2,rich,switch,13,0,-0.585270035863632,-1.4145028184780328,child
0,0,6,0,34.5,6,Male,9.37,2,rich,no_switch,14,1,-0.5022839860023708,-1.4145028184780328,child
0,0,5,-1,47.5,6,Male,9.37,2,rich,no_switch,15,2,-0.4192979361411095,-1.4145028184780328,child
0,0,6,1,32.0,5,Male,9.37,2,rich,no_switch,16,3,-0.33631188627984826,-1.4145028184780328,child
0,0,6,0,41.0,6,Male,9.37,2,rich,no_switch,17,4,-0.253325836418587,-1.4145028184780328,child
0,0,3,1,35.0,2,Male,9.37,2,neutral,switch,18,0,-0.17033978655732582,-1.4145028184780328,child
0,0,2,0,74.5,2,Male,9.37,3,neutral,switch,20,0,-0.004367686834803347,-1.4145028184780328,child
0,0,5,0,41.0,5,Male,9.37,3,rich,switch,21,0,0.07861836302645789,-1.4145028184780328,child
0,0,2,0,70.5,2,Male,9.37,3,neutral,switch,22,0,0.16160441288771912,-1.4145028184780328,child
0,0,2,0,79.0,2,Male,9.37,3,neutral,no_switch,23,1,0.24459046274898036,-1.4145028184780328,child
0,0,2,0,74.0,2,Male,9.37,3,neutral,no_switch,24,2,0.32757651261024157,-1.4145028184780328,child
0,0,3,1,42.0,2,Male,9.37,3,neutral,no_switch,25,3,0.4105625624715028,-1.4145028184780328,child
0,0,6,0,39.0,6,Male,9.37,3,rich,switch,26,0,0.49354861233276404,-1.4145028184780328,child
0,0,5,-1,47.5,6,Male,9.37,3,rich,no_switch,27,1,0.5765346621940253,-1.4145028184780328,child
0,0,3,1,43.0,2,Male,9.37,3,neutral,switch,28,0,0.6595207120552865,-1.4145028184780328,child
0,0,3,1,41.0,2,Male,9.37,3,neutral,no_switch,29,1,0.7425067619165477,-1.4145028184780328,child
0,0,2,0,59.5,2,Male,9.37,4,poor,switch,31,0,0.9084788616390702,-1.4145028184780328,child
0,0,2,0,70.5,2,Male,9.37,4,poor,no_switch,32,1,0.9914649115003314,-1.4145028184780328,child
0,0,2,0,59.5,2,Male,9.37,4,poor,no_switch,33,2,1.0744509613615927,-1.4145028184780328,child
