,sub_num,age,block,planet_num,stay_num,stay?,galaxy,prior_galaxy,num_in_gal,true_planet,rt,zlog_rt,planet_n_norm,switch,age_group,agez
1,0,9.37,1,0,1,1,0,100,0,0,95.4000001,-1.6213738323941043,-1.6091892281678604,no_switch,child,-1.5024787302392468
1,0,9.37,1,1,1,1,0,100,1,1,1337.4,0.6060369697665383,-1.5272953193113437,no_switch,child,-1.5024787302392468
1,0,9.37,1,2,1,1,1,0,0,2,1486.7,0.6953150285082345,-1.445401410454827,switch,child,-1.5024787302392468
1,0,9.37,1,3,1,1,1,0,1,3,1632.8,0.7743907163551824,-1.3635075015983102,no_switch,child,-1.5024787302392468
1,0,9.37,1,4,1,1,1,0,2,4,1323.7,0.5973509038077844,-1.2816135927417935,no_switch,child,-1.5024787302392468
1,0,9.37,1,5,1,1,2,1,0,5,1935.1,0.9176846715001039,-1.1997196838852768,switch,child,-1.5024787302392468
1,0,9.37,1,6,1,1,2,1,1,6,1418.9,0.6559389355164591,-1.11782577502876,no_switch,child,-1.5024787302392468
1,0,9.37,1,7,1,1,2,1,2,7,1282.3,0.5705454982105804,-1.0359318661722432,no_switch,child,-1.5024787302392468
1,0,9.37,1,8,1,0,0,2,0,8,1612.0,0.7635753492784924,-0.9540379573157266,switch,child,-1.5024787302392468
1,0,9.37,2,10,1,0,0,0,2,20,1225.1,0.5320502011848781,-0.7902501396026931,no_switch,child,-1.5024787302392468
1,0,9.37,2,11,1,1,0,0,3,21,1549.5,0.7302170937485202,-0.7083562307461764,no_switch,child,-1.5024787302392468
1,0,9.37,2,12,1,0,0,0,4,22,409.2,-0.3930052164590794,-0.6264623218896597,no_switch,child,-1.5024787302392468
1,0,9.37,2,13,1,1,2,0,0,23,1462.9,0.6817011092141908,-0.544568413033143,switch,child,-1.5024787302392468
1,0,9.37,2,14,1,1,2,0,1,24,1305.0,0.5853485114073234,-0.46267450417662626,no_switch,child,-1.5024787302392468
1,0,9.37,2,15,1,1,2,0,2,25,1083.2,0.4282022276660992,-0.38078059532010955,no_switch,child,-1.5024787302392468
1,0,9.37,2,16,1,1,2,0,3,26,1658.2,0.7874126168266504,-0.29888668646359284,no_switch,child,-1.5024787302392468
1,0,9.37,2,17,1,1,2,0,4,27,2669.5,1.1890937843596363,-0.2169927776070761,no_switch,child,-1.5024787302392468
1,0,9.37,2,18,1,1,1,2,0,28,1663.4,0.7900539080019376,-0.13509886875055938,switch,child,-1.5024787302392468
1,0,9.37,3,20,1,0,1,2,0,40,813.1000001,0.18624390837262514,0.028688948962474058,switch,child,-1.5024787302392468
1,0,9.37,3,21,1,1,2,1,0,41,998.8000002,0.35977015416566455,0.11058285781899077,switch,child,-1.5024787302392468
1,0,9.37,3,22,1,0,1,2,0,42,1206.4,0.5190743514064995,0.1924767666755075,switch,child,-1.5024787302392468
1,0,9.37,3,23,1,0,1,2,1,43,1145.8,0.4755978683070608,0.2743706755320242,no_switch,child,-1.5024787302392468
1,0,9.37,3,24,1,0,1,2,2,44,235.0,-0.8608742325262787,0.3562645843885409,no_switch,child,-1.5024787302392468
1,0,9.37,3,25,1,1,1,2,3,45,1427.0,0.6607409832165098,0.4381584932450577,no_switch,child,-1.5024787302392468
1,0,9.37,3,26,1,1,2,1,0,46,906.4000001,0.2778799098210873,0.5200524021015743,switch,child,-1.5024787302392468
1,0,9.37,3,27,1,1,2,1,1,47,1799.9,0.8565854336376995,0.6019463109580911,no_switch,child,-1.5024787302392468
1,0,9.37,3,28,1,1,1,2,0,48,1261.6,0.5568164696200391,0.6838402198146079,switch,child,-1.5024787302392468
1,0,9.37,3,29,1,1,1,2,1,49,1083.9,0.42874720572379904,0.7657341286711246,no_switch,child,-1.5024787302392468
1,0,9.37,3,30,1,1,2,1,0,50,144.8,-1.269366118828822,0.8476280375276413,switch,child,-1.5024787302392468
1,0,9.37,4,31,1,0,0,2,0,60,944.0,0.3121678915115867,0.929521946384158,switch,child,-1.5024787302392468
1,0,9.37,4,32,1,0,0,2,1,61,8.700000048,-3.641558665476952,1.0114158552406747,no_switch,child,-1.5024787302392468
1,0,9.37,4,33,1,0,0,2,2,62,187.4000001,-1.0518118528420541,1.0933097640971914,no_switch,child,-1.5024787302392468
1,0,9.37,4,34,1,1,2,0,0,63,608.5,-0.05827587204688601,1.175203672953708,switch,child,-1.5024787302392468
1,0,9.37,4,35,1,1,2,0,1,64,947.0999999,0.3149336069119658,1.2570975818102248,no_switch,child,-1.5024787302392468
1,0,9.37,4,36,1,1,2,0,2,65,732.9000001,0.09864174648582417,1.3389914906667415,no_switch,child,-1.5024787302392468
1,0,9.37,4,37,1,1,2,0,3,66,932.5,0.3018280323694993,1.4208853995232582,no_switch,child,-1.5024787302392468
1,0,9.37,4,38,1,1,2,0,4,67,132.8999999,-1.3417092066365348,1.502779308379775,no_switch,child,-1.5024787302392468
1,0,9.37,4,39,1,1,2,0,5,68,1073.4,0.42053533509472807,1.5846732172362916,no_switch,child,-1.5024787302392468
1,0,9.37,4,40,1,0,0,2,0,69,52.0,-2.1332918789255064,1.6665671260928085,switch,child,-1.5024787302392468
1,1,14.47,1,0,1,1,0,100,0,0,733.3,-0.33700112090892553,-1.7401132079031822,no_switch,adolescent,-0.5308648924838215
1,1,14.47,1,1,1,1,0,100,1,1,1074.2,0.301908855704428,-1.642882466860308,no_switch,adolescent,-0.5308648924838215
1,1,14.47,1,2,1,1,1,0,0,2,733.1,-0.33745761790694995,-1.5456517258174334,switch,adolescent,-0.5308648924838215
1,1,14.47,1,3,1,1,1,0,1,3,647.4,-0.5455056530549062,-1.4484209847745588,no_switch,adolescent,-0.5308648924838215
1,1,14.47,1,4,1,1,1,0,2,4,380.7,-1.4340645087152437,-1.3511902437316845,no_switch,adolescent,-0.5308648924838215
1,1,14.47,1,5,1,1,2,1,0,5,712.7,-0.3846868788721593,-1.25395950268881,switch,adolescent,-0.5308648924838215
1,1,14.47,1,6,1,1,2,1,1,6,2481.3,1.7029888526879726,-1.1567287616459356,no_switch,adolescent,-0.5308648924838215
1,1,14.47,1,7,1,1,2,1,2,7,2281.7,1.5626445599065941,-1.059498020603061,no_switch,adolescent,-0.5308648924838215
1,1,14.47,1,8,1,0,0,2,0,8,1058.1,0.27663647227826926,-0.9622672795601867,switch,adolescent,-0.5308648924838215
1,1,14.47,2,9,1,0,0,0,1,20,579.3,-0.7315069072906258,-0.8650365385173122,no_switch,adolescent,-0.5308648924838215
1,1,14.47,2,10,1,1,0,0,2,21,1113.8,0.3624925390945112,-0.7678057974744378,no_switch,adolescent,-0.5308648924838215
1,1,14.47,2,11,1,0,0,0,3,22,1229.0,0.5272055986551765,-0.6705750564315633,no_switch,adolescent,-0.5308648924838215
1,1,14.47,2,12,1,1,2,0,0,23,2557.1,1.7533469961247568,-0.5733443153886889,switch,adolescent,-0.5308648924838215
1,1,14.47,2,13,1,1,2,0,1,24,453.2,-1.1423337312864719,-0.4761135743458144,no_switch,adolescent,-0.5308648924838215
1,1,14.47,2,14,1,1,2,0,2,25,923.4,0.04875751828475822,-0.37888283330294,no_switch,adolescent,-0.5308648924838215
1,1,14.47,2,15,1,1,2,0,3,26,1524.4,0.887681471953574,-0.28165209226006555,no_switch,adolescent,-0.5308648924838215
1,1,14.47,2,16,1,1,2,0,4,27,594.1,-0.6892887724523952,-0.18442135121719108,no_switch,adolescent,-0.5308648924838215
1,1,14.47,3,18,1,1,1,1,1,40,745.3,-0.3098366995082737,0.010040130868557809,no_switch,adolescent,-0.5308648924838215
1,1,14.47,3,19,1,1,2,1,0,41,273.6,-1.9869019330859248,0.10727087191143225,switch,adolescent,-0.5308648924838215
1,1,14.47,3,20,1,1,1,2,0,42,513.3,-0.9339356569667088,0.20450161295430672,switch,adolescent,-0.5308648924838215
1,1,14.47,3,21,1,1,1,2,1,43,577.2,-0.7375845408916055,0.3017323539971812,no_switch,adolescent,-0.5308648924838215
1,1,14.47,3,22,1,1,1,2,2,44,1187.8,0.4701420259616304,0.3989630950400556,no_switch,adolescent,-0.5308648924838215
