sub_num,age,age_group,
0,9.37,child,
1,14.47,adolescent,
3,15.25,adolescent,
4,20.4,adult,
5,25.08,adult,
7,18.57,adult,
8,8.29,child,
9,22.22,adult,
10,13.33,adolescent,
12,18.06,adult,
13,24.82,adult,
16,17.25,adolescent,
17,23.83,adult,
18,25.21,adult,
19,22.06,adult,
20,9.93,child,
21,20.38,adult,
22,23.83,adult,
24,18.72,adult,
25,16.05,adolescent,
26,25.5,adult,
27,12.29,child,
28,22.65,adult,
29,16.53,adolescent,
30,10.93,child,
32,16.42,adolescent,
33,21.62,adult,
34,19.84,adult,
35,25.67,adult,
37,24.33,adult,
40,14.42,adolescent,
41,9.21,child,
42,8.42,child,
43,25.23,adult,
44,23.76,adult,
46,16.27,adolescent,
47,12.33,child,
49,17.92,adolescent,
50,11.87,child,
51,19.07,adult,
53,22.85,adult,
57,18.17,adult,
58,15.17,adolescent,
60,24.33,adult,
62,19.25,adult,
63,19.47,adult,
64,17.32,adolescent,
65,24.38,adult,
67,21.22,adult,
68,13.3,adolescent,
70,21.08,adult,
73,23.9,adult,
74,10.73,child,
77,13.82,adolescent,
78,14.25,adolescent,
79,21.45,adult,
80,23.5,adult,
81,24.75,adult,
82,17.54,adolescent,
83,8.65,child,
84,14.75,adolescent,
85,12.26,child,
86,10.44,child,
87,20.3,adult,
89,20.77,adult,
90,25.75,adult,
91,25.79,adult,
92,19.98,adult,
93,15.13,adolescent,
94,21.6,adult,
97,13.58,adolescent,
98,18.99,adult,
99,23.74,adult,
100,13.31,adolescent,
101,12.88,child,
103,11.67,child,
104,25.08,adult,
106,23.67,adult,
107,8.35,child,
108,17.21,adolescent,
109,9.24,child,
110,23.97,adult,
111,25.5,adult,
112,24.4,adult,
113,22.27,adult,
114,8.79,child,
115,8.65,child,
116,14.17,adolescent,
118,9.01,child,
119,12.94,child,
120,15.75,adolescent,
121,23.37,adult,
122,25.73,adult,
123,11.26,child,
124,13.59,adolescent,
125,17.94,adolescent,
126,13.55,adolescent,
127,14.68,adolescent,
128,19.44,adult,
129,16.42,adolescent,
130,21.49,adult,
132,17.08,adolescent,
133,16.82,adolescent,
134,17.92,adolescent,
135,19.71,adult,
137,25.08,adult,
138,21.83,adult,
139,11.64,child,
141,20.25,adult,
142,22.81,adult,
143,8.65,child,
144,11.23,child,
145,15.31,adolescent,
146,15.42,adolescent,
147,21.5,adult,
148,21.12,adult,
149,11.6,child,
150,15.99,adolescent,
151,17.29,adolescent,
152,10.63,child,
153,17,adolescent,
154,15.71,adolescent,
155,16.75,adolescent,
157,8.28,child,
160,14.75,adolescent,
161,15.54,adolescent,
162,23.31,adult,
163,21.51,adult,
165,22.38,adult,
166,10.35,child,
167,11.28,child,
168,19.36,adult,
169,17.25,adolescent,
172,20.05,adult,
173,16.94,adolescent,
177,9.77,child,
179,22.58,adult,
180,19.21,adult,
181,9.33,child,
182,13.95,adolescent,
183,20.67,adult,
184,13.15,adolescent,
185,8.22,child,
186,19.32,adult,
187,18.96,adult,
189,16.59,adolescent,
190,22.28,adult,
191,14.02,adolescent,
193,24.87,adult,
194,11.72,child,
196,25.31,adult,
197,24.39,adult,
198,20.83,adult,
199,12.56,child,
200,18.89,adult,
201,20.33,adult,
202,14.25,adolescent,
203,24.7,adult,
204,15.95,adolescent,
205,10.25,child,
206,12.07,child,
207,20.05,adult,
208,8.9,child,
209,20.24,adult,
210,12.79,child,
212,19.19,adult,
213,14.42,adolescent,
214,12.58,child,
215,16.84,adolescent,
216,22.83,adult,
217,17.17,adolescent,
219,25.58,adult,
220,13.07,adolescent,
221,21.94,adult,
222,10.09,child,
223,23.68,adult,
225,16.52,adolescent,
226,14.72,adolescent,
227,9.64,child,
228,10.39,child,
229,18.68,adult,
230,9.08,child,
231,13.8,adolescent,
232,18.36,adult,
233,10.99,child,
234,22.57,adult,
235,18.83,adult,
237,14.67,adolescent,
239,11.78,child,
240,9.12,child,
241,20.41,adult,
242,25.34,adult,
243,25.14,adult,
245,8.48,child,
247,25.5,adult,
249,12.81,child,
251,15.42,adolescent,
253,16.33,adolescent,
254,10.83,child,
255,15.12,adolescent,
256,13.17,adolescent,
257,8.68,child,
258,12.19,child,
259,12.26,child,
260,16.33,adolescent,
261,12.81,child,
262,18.65,adult,
263,23.81,adult,
264,17.08,adolescent,
265,10.8,child,
266,10.37,child,
267,14.48,adolescent,
268,18.5,adult,
269,24.54,adult,
270,19.11,adult,
271,9.29,child,
272,22.95,adult,
273,18.45,adult,
274,23.31,adult,
275,24.58,adult,
276,10.27,child,
277,11.5,child,
278,10.74,child,
279,17.05,adolescent,
281,12.81,child,
282,24.75,adult,
283,13.74,adolescent,
284,14.5,adolescent,
286,9.38,child,
287,25.83,adult,
289,22.48,adult,
290,21.45,adult,
291,23.01,adult,
292,22.83,adult,
293,11.77,child,
295,9.05,child,
296,9.38,child,
297,21.51,adult,
298,13.68,adolescent,
299,24.58,adult,
300,11.59,child,
301,8.1,child,
302,19.75,adult,
303,20.03,adult,
304,11.69,child,
305,11.29,child,
306,8.08,child,
308,20.25,adult,
310,24.69,adult,
311,23.5,adult,
312,16.88,adolescent,
313,19.33,adult,
